AA,Alcoa Inc 
SAUDI,Kdom Saudi Arabia
SBRY,J Sainsbury PLC
SCACAP,Svenska Cellulosa AB SCA
SCMNVX,Swisscom AG
SCOHYD,Scottish Sthn Engy plc
SFI,Istar Finl Inc
SHNHAN,Shin Han Bk
SHW,Sherwin Williams Co
SICILY,Region Sicily
SIEM,Siemens AG
SIGB,Rep Singapore
SLE,Sara Lee Corp
SLMA,SLM Corp
SLMA-SallieMae,Sallie Mae Inc
SLOVAK,Slovak Rep
SLOVEN,Rep Slovenia
SOAF,Rep South Africa
SOCGEN,Societe Generale
SPAIN,Kdom Spain
SPG-LP,Simon Ppty Gp L P
SPLS,Staples Inc
SRE,Sempra Engy
STGOBN,Cie de St Gobain
STL,StatoilHydro ASA
STM,Stmicroelectronics N V
STORA,Stora Enso CORP
STSP,Singapore Telecom Ltd
SUEDZU,Suedzucker AG
SWED,Kdom Sweden
SWEMAT,Swedish Match AB
SWREL,Swiss Reins Co Ltd
SWY,Safeway Inc
SYNHL-Gua,Syncora Gtee Inc
TATELN,Tate Lyle PLC
TD,Toronto Dominion Bk
TELECO,Telstra Corp Ltd
TELEFO,Telefonica S A
TELENZ,Telecom Corp New Zld Ltd
TELNOR,Telenor ASA
TENAGA,Tenaga Nasional BHD
TEXAS,St of TX
TGT,Target Corp
THAI,Kdom Thailand
TIIMN,Telecom Italia SpA
TKA,Telekom Austria AG
TKAGR,ThyssenKrupp AG
TLIASS,TeliaSonera AB
TNT,TNT N V 
TOL,Toll Bros Inc
TOTALN,Total SA
TOYOTA,Toyota Mtr Corp
TRITOB,Rep Trinidad Tobago
TRWAuto,TRW Automotive Inc
TSCO,Tesco PLC
TSO,Tesoro Corp
TW,Time Warner Inc
TW-Cab,TIME WARNER CABLE INC
TXT-FinCorp,Textron Finl Corp
Ticker,ShortName
UAE,Utd Arab Emirates
UBS,UBS AG
UHS,Unvl Health Svcs Inc
UKIN,Utd Kdom Gt Britn Nthn Irlnd
ULVR,Unilever N V
UNFSM,Un Fenosa S A
UNP,Un Pac Corp
UPMKYM,UPM Kymmene CORP
UPS,Utd Parcel Svc Inc
URI-NorthAmer,Utd Rents North Amer Inc
USGB,Utd Sts Amer
USPA,UniCredit SpA
UTAH,St of UT
UU,Utd Utils plc
VATFAL,Vattenfall AB
VATFAL-Treas,Vattenfall Treas AB
VEOLIA,Veolia Environnement
VERSIC-InsCo,Zurich Ins Co
VIAINC,Viacom
VINCI,Vinci
VIVNDI,Vivendi
VLOC,Valero Energy Corp
VLOF,Valeo
VLVY,AB Volvo
VNESH-FINSER,VTB Cap SA
VNO-LP,Vornado Rlty LP
VOD,Vodafone Gp PLC
VRZN,Verizon Comms Inc
VTB,JSC VTB Bk
VW,Volkswagen AG
WB,Wachovia Corp
WFC,Wells Fargo Co
WHR,Whirlpool Corp
WINDS,Windstream Corp
WISCON,St OF WI
WMT,Wal Mart Stores Inc
WOLKLU,Wolters Kluwer N V
WPPGRP-2005,WPP 2005 Ltd
WY,Weyerhaeuser Co
WYE,Wyeth
XL,XL Cap Ltd
XOM,Exxon Mobil Corp
XRX,Xerox Corp
XTO,XTO Engy Inc
YUM,YUM Brands Inc
