00FDCN038TB02,FIRST DATA CORPORATION
MOSAIC_NTBTL,Mosaic Company
MUELERWTR_TLB,Mueller Water Products Inc
MULTIPLN_TLB,Multiplan
MURRAYEN_FLTL,Murray Energy Corporation
MYLANINC_TLB,Mylan Inc
N0004G023TB18,NTL INCORPORATED
N0004H023TB01,NYCOMED A S
N0006B016TB01,NORMA GROUP
N0007J018TB01,NORIT
NATLBED_1FLTL,National Bedding Co LLC
NATLCINM_TLB,National CineMedia LLC
NATLMENTR_ILC,National Mentor Holdings Inc
NCISYS_NTLB,NCI Building Systems Inc
NEBRASKACO_TL,Nebraska Book Co
NEIMANMRC_TL,Neiman Marcus Group
NEPIIINC_TLB,NEP II INC
NETWRKSL_FLTL,Network Solutions LLC
NEWHLDING_TLB,N E W Holdings I LLC
NEWPGECORP_TL,NewPage Corporation
NEWRLDGM_DDTL,New World Gaming Partners Holdings Ltd
NEXSTARBR_TLB,Nexstar Broadcasting Group
NIELSENF_TL,Nielsen Finance VNU
NISKAGAS_ASTL,Niska Gas Storage Canada ULC
NISKAGAS_USDD,Niska Gas Storage US LLC
NORANDAL_TLB,Noranda Aluminum Acquisition Corporation
NOVELISCRP_TL,Novelis Corporation
NOVELIS_CANTL,Novelis Inc
NRGENGY_CLDEP,NRG Energy Inc 
NTELOS_TLB1,NTelos Inc
NUVEENINVS_TL,Nuveen Investments Inc
NWAIRLINE_DTL,Northwest Airlines Inc 
O0001E014TB01,Nalco Company
O0001P068TB33,OGF HOLDING
O0002B029TA01,ORANGINA
O0002W013TB01,ORION
OPENSOLU_TLB,Open Solutions Inc
ORBITZWRLD_TL,Orbitz Worldwide Inc
ORECKCRP_TLB,Oreck Corporation
ORIENTL_FLTLB,Oriental Trading Co Inc
OSIREST_PFRC,OSI Restaurant Partners Inc
OWENSBRO_TB,Owens Brockway Glass Container Inc
OXBOW_DDTLB,Oxbow Carbon LLC
OZBURNHES_TL,Ozburn Hessey Holding Comapny LLC
P0005R034TL01,PROVIMI SA
P00061030TL01,LAVENA
P00061038TC02,PROSIEBENSAT 1 MEDIA AG
P0006T031TB01,PETS AT HOME INVESTMENTS LTD
P0006W034TB01,POLYMER LATEX
P0007A019TB04,POLYCONCEPT HOLDING SA
P0007Q028TB01,PHS GROUP PLC
P0009H016TL01,PAGES JAUNES GROUP OPCO
P0009H018TB01,PAGES JAUNES GROUP HOLDCO
P0009J014TB01,GONDOLA
P0009L019TB01,PHARMACIA DIAGNOSTICS AB
P0009U017TB02,PTS ACQUISITION
PANOLAMIN_NTL,Panolam Industries International Inc
PANTRY_DDTL,Pantry Inc The
PAXSONCMM_TL,Paxson Communications Corp
PENNTLGM_TLB,Penn National Gaming Inc
PEPBOYS_NTL,Pep Boys Manny Moe Jack
PETCOAS_TLB,Petco Animal Supplies
PHARMHLDG_TL,URL Pharma Inc
PHILADNEW_TLB,Philadelphia Newspapers LLC
PHYSIOTHEA_TL,Physiotherapy Associates Inc
PIKELCTRC_TLB,Pike Electric Inc
PINNACL_TL,Pinnacle Foods Finance LLC
POLYMERGRP_TL,Polymer Group Inc
POLYPORE_INTL,Polypore Inc
PRESBRDS_TBTL,Prestige Brands Inc
PROTECTIO_TLC,Protection One Alarm Monitoring Inc
QCELLC_SLTL,QCE LLC
QUINTLS_SLTL,Quintiles Transnational
R00057012TB02,RUHRGAS INDUSTRIES
R0006A014TB01,REGENCY ENTERTAINMENT SA
RBSGLOB_TL,RBS Global Rexnord Corp
REALOGY_NSLOC,Realogy Corporation
REDDYICE_TLB,Reddy Ice Group Inc
REDERDGST_TLB,Readers Digest Association Inc
REGALCNM_NTL,Regal Cinemas Inc
REMAXINT_TRB1,Remax International Inc
RENALADV_TLB,Renal Advantage
RENTACE_TL,Rent A Center Inc
REVOSTUD_TLB,Revolution Studios Holding Co LLC
RGISSERV_DDTL,RGIS Services LLC
RHDONNE_NTDTL,R H Donnelley Inc
ROCKWOOD_TDTL,Rockwood Specialties Group
ROUNDYSS_TBTL,Roundy's Supermarkets Inc
ROYALTYPF_TLB,Royalty Pharma Finance Trust
S0008B043TB01,SPRINGER SCIENCE KAP GLOBAL
S0008D041TL04,STAHL
S000BN019TB04,SMURFIT
S000C9019TB43,SENSATA
S000CM018TB03,SSP FINANCING
S000EF013TB01,SIG SCWEIZERISCHE INDUSTRIE GESELLSCHAFT
S000EL010TB01,QIDNAX SCANDIC HOTELS
SABREINC_ITL,Sabre Inc
SAVERS_CANTB,Savers Inc
SELCTMEDI_TLB,Select Medical Corp
SEMINOLE_DDTL,Seminole Tribe of Florida
SENMETSYS_TL,Sensus Metering Systems
SGSINTINC_TLUS,SGS International Inc
SIMMONSH_TDTL,Simmons HoldCo
SITELLLC_USTL,Sitel LLC
SMURFITSCC_TL,Smurfit Stone Container Corporation
SMURFTSC_NTLC,Smurfit Stone Container Canada Inc
SNRISEMDC_TB1,Sunrise Medical Inc
SORCITLK_TLB,Source Interlink Companies Inc
SOURCEMED_TL,Source Media Inc Accuity LLC
SOUTHEDGE_TLC,South Edge LLC
SPIRITAER_TLB,Spirit Aerosystems Inc
SPRINGER_TLB2,Springer Science Bus Med Fin Inc
SPRINGRSB_A1,Springer Science Business Media
STDAERO_TB2TL,Standard Aero Limited
STHRNWINE_TB,Southern Wine Spirits
STIEFELAB_DD,Stiefel Laboratories Inc
STILEUSA_USTL,Stile US Acquisition Corp
STJOHNK_DDTL,ST John Knits Intl Inc
STRATOS_TBUSD,Stratos Funding LP
STRATOS_TLBCA,Stratos Global Corporation
SUNGD_NEWUSTL,Sungard Data Systems Inc
SUPERVAL_TLB,Supervalu Inc
SWFTTRANS_TLB,Swift Transportation Co Inc 
SXFLGSTPK_TLE,Six Flags Theme Parks Inc 
SYNAGROT_1LTL,Synagro Technologies Inc
T0005P036TB01,TDF TYROL
T00070021TB02,TDC
T00072027TB01,TRADER MEDIA
T0009L015TB01,TELEPIZZA
T000AS016TC01,TEXAS COMPETITIVE ELECTRIC HOLDING
TARGARES_SLOC,Targa Resources Inc
TELSTCN_UST1L,Telesat Canada
TFSACQUIS_TL,TFS Acquisition Corp
TICKTMSTR_TLB,Ticketmaster
TLACQUIS_TLB,Cengage Learning Acquisitions Inc
TRANSDIGM_TLB,Transdigm Inc
TRIBUNE_TLX,Tribune Co
TRIMASCRP_TB1,Trimas Corp
TRIZTTOGRP_TB,TriZetto Group Inc The
TRNSNTSVC_TLB,Transaction Network Services
TRU2005RE_TL,TRU 2005 RE Holding Co I LLC
TRVLPORT_DDTB,Travelport Inc
TXCMPELEC_TB2,Texas Competitive Electric Holdings Company LLC
U0001R079TL0C,UPC HOLDING B V 
U0002L010TB01,UNITED BISCUITS
U00038018TB02,NUMERICABLE
UNITDSBC_SLTL,United Subcontractors Inc
UNITEDCMP_TLD,United Components
UNIVCOMM_SL,Univision Communications Inc
UNIVERSAL_TLB,Universal City Development Partners LP
UNOLACORP_TBL,Unola Corp
UNTDSURG_DDTL,United Surgical Partners
UPC_Financing_TLN_New,UPC Financing Partnership
URSCORP_TRBTL,URS Corporation
USECURTY_TBTL,US Security Holdings Inc
USIHLDCR_NTLB,USI Holdings Corporation
USINVSSERV_TL,US Investigations Services Inc 
USPFHOLDGS_TL,USPF Holdings LLC
USU75045AA91,RYERSON INC 
V0002B037TB01,NIELSEN FINANCE LLC
V0002K029TB01,VIVARTE
VALASSIS_TLB,Valassis Communications
VALUEVLG_CTL,Value Village Stores Inc
VANGRDHLT_TLC,Vanguard Health Systems Inc
VANHOUTE_TBTL,Van Houtte Inc
VENETIAN_DDTL,VML US Finance LLC Venetian Macau
VEYANCET_DDTL,Veyance Technologies Inc
VIANTHLDG_TLB,Viant Holdings Inc
VOUGHTAI_IFTL,Vought Aircraft Industries Inc
VRTAFORE_TLB,Vertafore Inc
VULCANRGY_TLB,Vulcan Energy Corporation
VWRFUNDING_TL,VWR Funding Inc
W0003R022TB01,WIND
W0003S038TB01,WOLTERS KLUWER EDUCATION
WARNRCHL_TBAC,Warner Chilcott Company Inc
WARNRCHL_TCAC,Warner Chilcott Corporation
WASTESER_TETL,Waste Services Inc
WEST_ITLB3,West Corporation
WILLIAMCA_TL,William Carter Co The
WINDSTRM_TRB1,Windstream Corporation Inc
WRNERMUSIC_TL,WMG Acquisition Corp
WSCOAIRCR_TLB,Wesco Aircraft Hardware Corp
WYLELABI_FLTL,Wyle Laboratories Inc
XERIUMTE_TLB,Xerium Technologies Inc
XS0298436436,NXP BV
XS0322031328,AXIUS EUROPE CLO SA
XS0327762307,PDM CLO
Y0000G027TB01,YELLOW BRICK ROAD
Y0000J049TA01,YELL GROUP PLC
YANKECNDL_TLB,Yankee Candle Company Inc
ZUFFALLC_TLB,Zuffa LLC
gsc00000,Clondalkin Acquisition BV
gsc01368,Carcoustics International GmbH
gsc01370,Speedy 1 Limited
gsc02066,Autobar Group
gsc02260,Lehnkering GmbH
gsc02265,European Seafood Investments MW Brand
gsc02269,Regie Linge
gsc02279,Candle Holdco UK Limited
gsc02291,NTL Inc 
gsc02292,Demeter Iberia S L U 
gsc02303,JVH Gaming Holding II BV
gsc02308,Kabel BW Zweite Beteiligungs GmbH
gsc02312,Ypso Holding SA
gsc02325,MPM Holdings II LLC
gsc02340,Yell Group Plc
gsc02353,Inspired Gaming Group Plc
gsc02358,Jake Acquisitions Plc
gsc02360,Holding Bercy Investissement S C A 
gsc02367,Unity Media GmbH
gsc02370,TP Holdings GmbH
gsc02376,PolymerLatex Deutschland Holding GmbH
gsc02386,Dollar Financial Group Inc
gsc02387,All3 Media Intermediate Limited
gsc02478,Wind Telecomunicazioni Spa
gsc02485,Beig Midco Ltd
gsc02496,EDP European Dental Partners Holding GmbH
gsc02555,Polyamide High Performance GmbH
gsc02558,Metroweb
gsc02610,Avio Investments S P A 
gsc02613,Aleris International Inc
gsc02631,Nyco Holdings 3 ApS
gsc02660,Escaline S a r l 
gsc02681,Tyrol Acquisition 2 SAS
gsc02687,ASCO Acquisitions Limited
gsc02691,Mediannuaire Holding
gsc02712,RD Card Holdings
gsc02729,Fina Cold II S A 
gsc02739,Neggio Holding 3 GmbH
gsc02755,Carl Zeiss
gsc02780,Cool Holding GmbH
gsc02790,Novasep Holding
gsc02795,Financiere DSBG SAS
gsc02821,Blue Waste B V formerly AVR Acquisitions B V 
gsc02842,Hilding Anders ab
gsc02853,ColorMatrix UK Holdings Limited
gsc02864,Financiere Verdi
gsc02872,Black Lion Beverages III B V 
gsc02892,Opica AB
gsc02911,PSE Topco Limited
gsc02923,Holding Medipartenaires
gsc02925,World Directories Acquisition Corp 
gsc03008,Bandwood Limited
gsc03020,Delphi Acquisition Holding I B V 
gsc03080,SDU Finco BV
gsc03094,CDS Bidco BV
gsc03095,WP Roaming III S A R L 
gsc03120,Capucine
gsc03126,Rotac Sweden AB
gsc03140,Danish Holdco A S
gsc03151,BCM Ireland Holdings Limited
gsc03163,German Eyewear GmbH
gsc03165,Vinnolit GmbH Co KG
gsc03193,Wilhelmina Finco B V 
gsc03197,ISS Holdings A S
gsc03224,Lion Visor Finn 1 OY
gsc03226,Redwing Holdings 1 Limited
gsc03262,Financiere Cofidim
gsc03284,Kleopatra Lux 2 S A R L
gsc03287,Mollien Investissement
gsc03288,Linpac Group Limited
gsc03293,Norit Bidco
gsc03301,TFL Holding GmbH
gsc03316,AZ Jupiter 1 BV
gsc03358,Blitz 06 295 GmbH
gsc03360,Bienfaisance Holding SAS GDT
gsc03420,ACG Holding
gsc03433,Project Zenith
gsc18480,Lavena Holding 3 Gmbh
gsc18958,K Alpha France
gsc19008,Profil Verbindungstechnik Service GmbH
gsc19125,HCA UK Capital Limited
gsc19179,Primacom Management GmbH
gsc19425,DIC Almatis Bidco B V 
